Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
Chino Hills,1,2023,4,96,2023-04-07,0.30122475948307226,-0.2908364355196448,2.0438807201757108,27.35744978879931,6.49,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2024,4,99,2024-04-09,0.21692498709908284,-0.23374088380521774,1.3746237095741638,28.885712040504206,0.61,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2024,4,99,2024-04-09,0.08892321043358033,-0.07429546118084039,0.6236660909532206,21.137938652156397,0.61,-119.97275608023315,33.99868572814196
Chino Hills,1,2024,4,99,2024-04-09,0.23894273750270997,-0.2384292075018682,2.1251132259694945,31.227026103208967,0.61,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2024,4,115,2024-04-25,0.1989892135669034,-0.24052914157902186,0.9796564287257855,31.275299501586993,55.26,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2024,4,115,2024-04-25,0.15511196696960383,-0.1416760558433398,0.9788315773736682,21.819929698949224,55.26,-119.97275608023315,33.99868572814196
Chino Hills,1,2024,4,115,2024-04-25,0.24795026781410648,-0.25312353186849307,1.5825901883366813,28.076893038650027,55.26,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2015,4,90,2015-04-01,0.007172832431249657,0.014742726596648081,0.6420060123668221,17.705336604297955,2.43,-119.97275608023315,33.99868572814196
Chino Hills,1,2015,4,90,2015-04-01,0.19452088096221445,-0.22311917676315562,1.0452785433995129,33.370358502485594,2.43,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2015,4,106,2015-04-17,0.09092275906310752,-0.10792561546480471,0.45236370447922264,30.93115463568402,4.95,-119.97275608023315,33.99868572814196
Chino Hills,1,2015,4,106,2015-04-17,0.2422600959793119,-0.25335130431016845,1.3568221657485915,37.84445745289125,4.95,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2016,4,93,2016-04-03,-0.005771710669973538,0.0341414543471,0.029189807662086203,14.73697549080121,69.59,-119.97275608023315,33.99868572814196
Chino Hills,1,2016,4,93,2016-04-03,0.1948476769044554,-0.21277477751734988,1.2648036824509425,38.43575051544929,69.59,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2016,4,109,2016-04-19,0.004797515687032951,0.014254953640842704,0.07794347167648778,18.825989419462367,0.04,-119.97275608023315,33.99868572814196
Chino Hills,1,2016,4,109,2016-04-19,0.17869826628008542,-0.20183864755130715,1.046917605108494,42.50674712002618,0.04,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2017,4,95,2017-04-06,0.029815269749803145,-0.005256095718987268,-0.9533943344146506,8.74995088799478,63.61,-119.97275608023315,33.99868572814196
Chino Hills,1,2017,4,95,2017-04-06,0.24716614316192617,-0.2548418648501372,1.065149535741705,12.216297505410978,63.61,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2017,4,111,2017-04-22,0.03878296307601308,-0.02728564609782865,0.15588363615322054,19.82750676530661,11.52,-119.97275608023315,33.99868572814196
Chino Hills,1,2017,4,111,2017-04-22,0.22415645659252723,-0.24474283260825802,1.1119132015169932,37.510465646355215,11.52,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2018,4,98,2018-04-09,-4.322175246255453E-4,0.0219364842617341,0.0031446220065022906,13.812464078898273,9.47,-119.97275608023315,33.99868572814196
Chino Hills,1,2018,4,98,2018-04-09,0.15554033494024955,-0.17518206282723026,1.0628574843147203,34.622560858238344,9.47,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2018,4,114,2018-04-25,0.015254670963069957,0.0105918340982783,0.09167681636469638,16.170337617215182,56.83,-119.97275608023315,33.99868572814196
Chino Hills,1,2018,4,114,2018-04-25,0.16388478897318554,-0.19360860990616485,0.9243207547621725,35.818708344217086,56.83,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2019,4,101,2019-04-12,0.011692522867432739,0.007041330568102636,-0.14073589610258055,11.724609348772141,0.16,-119.97275608023315,33.99868572814196
Chino Hills,1,2019,4,101,2019-04-12,0.2618463461709768,-0.26748450283365627,1.3781549189419728,29.606539443459912,0.16,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2020,4,104,2020-04-14,0.03451138487999262,-0.01961184903733115,0.24356338421784557,18.611409065432433,33.29,-119.97275608023315,33.99868572814196
Chino Hills,1,2020,4,104,2020-04-14,0.22094577631975962,-0.22458123259644505,1.607408555097277,28.75431347175419,33.29,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2021,4,90,2021-04-01,0.001964925027616542,0.018592120201043515,0.08292893844183569,14.552928144843593,21.17,-119.97275608023315,33.99868572814196
Channel Islands National Park,1,2021,4,106,2021-04-17,0.037214329312928514,-0.027083543324167937,0.22836672198304506,23.94422282742047,41.05,-119.97275608023315,33.99868572814196
Chino Hills,1,2021,4,106,2021-04-17,0.18013698578247822,-0.20788379760688855,0.9436427288712025,34.74561838455672,41.05,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2022,4,93,2022-04-04,0.06815767987462089,-0.05938297378350527,0.3217481304070546,19.665959234218118,28.95,-119.97275608023315,33.99868572814196
Chino Hills,1,2022,4,93,2022-04-04,0.18396581419207828,-0.20497144543646176,0.9874734197870786,28.509728872940606,28.95,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2022,4,109,2022-04-20,0.059122262240830996,-0.0602093540234533,0.2758745835658149,21.796082730094543,1.78,-119.97275608023315,33.99868572814196
Chino Hills,1,2022,4,109,2022-04-20,0.19495233130684816,-0.211274023160343,1.2579893309149341,33.34754804457695,1.78,-117.77738835498087,33.9516771794212
Channel Islands National Park,1,2023,4,96,2023-04-07,1.1974222675716344E-4,0.019833679882717094,-0.001021972172057523,12.41335191412604,4.28,-119.97275608023315,33.99868572814196
Chino Hills,1,2023,4,96,2023-04-07,0.2805330568020745,-0.2803920280996444,1.5576361697715073,28.243489062740522,4.28,-117.77738835498087,33.9516771794212
