,Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
7960,Estrella Mountain Regional Park,1,2022,9,257,2022-09-15,0.0752679000462096,-0.1174755107604018,0.40167993069699,50.73456511458787,1.05,-112.363865249209,33.327835281867486
7961,South Mountain Park and Preserve,1,2022,9,257,2022-09-15,0.0784693362963605,-0.1137713140513243,0.4925211077063562,47.00305809680566,1.05,-112.07404945155729,33.33552038501198
7962,Suguaro Lake,1,2022,9,257,2022-09-15,0.1190433327617025,-0.1571862560360102,0.662150999671227,44.951560829648336,1.05,-111.54542297799958,33.59825955383104
7963,Black Canyon City,1,2023,9,244,2023-09-02,0.1006851111014032,-0.1429501403144384,0.4950958365705816,39.01699162872544,32.52,-112.12297566700332,34.12891725078391
7964,Estrella Mountain Regional Park,1,2023,9,244,2023-09-02,0.0903291873540475,-0.1393671805905419,0.3702099724951753,46.13930937061303,32.52,-112.363865249209,33.327835281867486
7965,South Mountain Park and Preserve,1,2023,9,244,2023-09-02,0.0765718586478951,-0.1147869327222556,0.4332549548677241,42.473770265680926,32.52,-112.07404945155729,33.33552038501198
7966,Suguaro Lake,1,2023,9,244,2023-09-02,0.0979069904779238,-0.1461121202809031,0.4776617902892623,44.417966638967314,32.52,-111.54542297799958,33.59825955383104
7967,Black Canyon City,1,2023,9,260,2023-09-18,0.1164193540995423,-0.1550789610963327,0.6579402267004952,44.68753935598112,0.0,-112.12297566700332,34.12891725078391
7968,Estrella Mountain Regional Park,1,2023,9,260,2023-09-18,0.0782481763789775,-0.1298079892512518,0.3752267879946859,49.92467123523907,0.0,-112.363865249209,33.327835281867486
7969,South Mountain Park and Preserve,1,2023,9,260,2023-09-18,0.0718680572648929,-0.1162794648012472,0.4002473202418666,49.79379058984208,0.0,-112.07404945155729,33.33552038501198
7970,Suguaro Lake,1,2023,9,260,2023-09-18,0.0964890499447404,-0.144686944111323,0.4950405868387752,48.7022754615549,0.0,-111.54542297799958,33.59825955383104
7971,Black Canyon City,1,2024,9,247,2024-09-04,0.0896215515826243,-0.1335782244802214,0.4951335105802867,53.79258985615621,0.0,-112.12297566700332,34.12891725078391
