Site,year,NDVI,NDWI,cloud_cover,longitude,latitude,bloom,month,day_of_year,day_of_month,is_spring,is_summer,is_fall,is_winter
Non_Bloom_2,2024,0.0850833113850494,-0.1277013695050626,63.5,-115.25971154704328,36.19595474635144,0,1,6,6,0,0,0,1
Non_Bloom_3,2024,0.0591390284517081,-0.0970890344089954,63.5,-115.1219003096022,36.01894604348756,0,1,6,6,0,0,0,1
Non_Bloom_4,2024,0.0524388177587539,-0.088104043863817,63.5,-115.11787471234813,36.19695663260334,0,1,6,6,0,0,0,1
Non_Bloom_2,2024,0.113238673386178,-0.1400610558735711,43.48,-115.25971154704328,36.19595474635144,0,2,54,23,0,0,0,1
Non_Bloom_3,2024,0.0512184182459133,-0.0880036669981154,43.48,-115.1219003096022,36.01894604348756,0,2,54,23,0,0,0,1
Non_Bloom_2,2024,0.0715273402921538,-0.1113387231142381,10.57,-115.25971154704328,36.19595474635144,0,3,86,26,1,0,0,0
Non_Bloom_3,2024,0.0607795238727603,-0.1000242050923114,10.57,-115.1219003096022,36.01894604348756,0,3,86,26,1,0,0,0
Non_Bloom_4,2024,0.0578203793686215,-0.0874169102917841,10.57,-115.11787471234813,36.19695663260334,0,3,86,26,1,0,0,0
Non_Bloom_2,2024,0.0770382698807446,-0.1172209113120315,0.49,-115.25971154704328,36.19595474635144,0,4,102,11,1,0,0,0
Non_Bloom_3,2024,0.0627567090820387,-0.1041798381458444,0.49,-115.1219003096022,36.01894604348756,0,4,102,11,1,0,0,0
Non_Bloom_4,2024,0.0615090191017652,-0.0929369805952389,0.49,-115.11787471234813,36.19695663260334,0,4,102,11,1,0,0,0
Non_Bloom_2,2024,0.081850663987714,-0.1223886854603222,9.32,-115.25971154704328,36.19595474635144,0,4,118,27,1,0,0,0
Non_Bloom_3,2024,0.0678328924957545,-0.1096967148699052,9.32,-115.1219003096022,36.01894604348756,0,4,118,27,1,0,0,0
Non_Bloom_4,2024,0.063336110683409,-0.0960828077811058,9.32,-115.11787471234813,36.19695663260334,0,4,118,27,1,0,0,0
Non_Bloom_2,2024,0.0817711109131764,-0.122531241857272,2.64,-115.25971154704328,36.19595474635144,0,5,134,13,1,0,0,0
